wfo_taxon_id,wfo_accepted_name,Genus,Family,Leaf area (mm2),Nmass (mg/g),LMA (g/m2),Plant height (m),Diaspore mass (mg),LDMC,SSD used (mg/mm3),logLA,logLDMC,logSLA,logSM,logH,logNmass,species_key
wfo-0000444756,Limonium humile,Limonium,Plumbaginaceae,,,,0.158113883,2.31,,0.0,8.058960017769417,,,0.8372475245337022,-1.8444397271102144,,limonium humile
wfo-0000358928,Lophopetalum wightianum,Lophopetalum,Celastraceae,,,,49.0,183.34,,0.0,,,,5.21134235253363,3.8918202981106265,,lophopetalum wightianum
wfo-0000231956,Macaranga gigantea,Macaranga,Euphorbiaceae,,19.39107572,76.62298305,12.0669893,13.0,,0.0,10.20926307187884,,2.568858207421304,2.5649493574615367,2.490473567375234,2.9648129457971937,macaranga gigantea
wfo-0001136802,Mecardonia acuminata,Mecardonia,Plantaginaceae,129.25,,58.58230814,0.2,,,0.0,4.861748513388538,,2.8373225368565493,,-1.6094379124341005,,mecardonia acuminata
wfo-0000374733,Musanga cecropioides,Musanga,Urticaceae,9050.0,24.0,76.33587786,4.224513871,1.3608,,0.0,9.110520036693972,,2.5726122302411056,0.3080727620995149,1.440904194070871,3.1780538303479458,musanga cecropioides
wfo-0000252173,Nothofagus truncata,Nothofagus,Nothofagaceae,,13.22875656,,,7.6499,,0.0,,,,2.034692575857582,,2.5823929873153086,nothofagus truncata
wfo-0000389339,Oenothera perennis,Oenothera,Onagraceae,112.0,,20.5338809,,,0.1,0.0,4.718498871295094,-2.302585092994045,3.885679030258544,,,,oenothera perennis
wfo-0000212906,Ononis pubescens,Ononis,Fabaceae,,,,0.4,9.5812,,0.0,,,,2.259802845098604,-0.916290731874155,,ononis pubescens
wfo-0000212908,Ononis reclinata,Ononis,Fabaceae,,,,0.05,0.7357,,0.0,,,,-0.3069328520439183,-2.995732273553991,,ononis reclinata
wfo-0001142507,Ovidia andina,Ovidia,Thymelaeaceae,,21.4,98.81422925,,24.65,,0.0,,,2.31451366384932,3.204776900488699,,3.0633909220278057,ovidia andina
wfo-0000168370,Pentaclethra macroloba,Pentaclethra,Fabaceae,7707.73,29.24,43.18135804,32.0,4757.0666,,0.0,8.949979000378969,,3.1423464037184305,8.46738649675471,3.4657359027997265,3.375537634881577,pentaclethra macroloba
wfo-0000183242,Phaseolus coccineus,Phaseolus,Fabaceae,,,,3.5,1004.2384,,0.0,,,,6.911984722264041,1.252762968495368,,phaseolus coccineus
wfo-0000269662,Phlomoides maximowiczii,Phlomoides,Lamiaceae,,33.88386341,14.96392386,,,,0.0,9.159047077588632,,4.20211305072089,,,3.5229388954550527,phlomoides maximowiczii
wfo-0000270932,Phyllanthus emblica,Phyllanthus,Phyllanthaceae,,15.50045161,,19.86576777,266.2425,,0.0,4.31748811353631,,,5.584407547612797,2.988998037903032,2.7408691596297845,phyllanthus emblica
wfo-0000817478,Phyteuma scorzonerifolium,Phyteuma,Campanulaceae,,,,0.545136178,,,0.0,,,,,-0.6067196476407668,,phyteuma scorzonerifolium
wfo-0000482440,Picea jezoensis,Picea,Pinaceae,,15.54606059,106.006866,32.40370349,2.7601,,0.0,2.7800607370784824,,2.2442514133828824,1.0152669109567578,3.4782727215128504,2.7438072682660186,picea jezoensis
wfo-0000030068,Pilosella aurantiaca,Pilosella,Asteraceae,995.13,,35.17645213,0.313256115,0.1356,0.171283553,0.0,6.9028733818905295,-1.7644348911045564,3.3473783938203003,-1.998045903475841,-1.1607341642472526,,pilosella aurantiaca
wfo-0000274247,Planchonella sandwicensis,Planchonella,Sapotaceae,,22.9,95.23809524,7.62,1606.02,,0.0,,,2.3513752571434776,7.38151434772929,2.030776369698555,3.131136910560194,planchonella sandwicensis
wfo-0000278887,Plinia cauliflora,Plinia,Myrtaceae,324.53,21.0,56.02987059,,,,0.0,5.782377981793872,,2.8818703270631527,,,3.044522437723423,plinia cauliflora
wfo-0000893838,Poa sinaica,Poa,Poaceae,,12.0,,,,,0.0,,,,,,2.4849066497880004,poa sinaica
wfo-0000485646,Podocarpus lambertii,Podocarpus,Podocarpaceae,,,,11.63294057,,,0.0,,,,,2.453840778079209,,podocarpus lambertii
wfo-0001109264,Polystichum braunii,Polystichum,Dryopteridaceae,,,,0.548480655,1.94e-05,,0.0,,,,-10.850237491894992,-0.6006032688040382,,polystichum braunii
wfo-1000070075,Polystichum setiferum,Polystichum,Dryopteridaceae,,21.09,51.9076202,0.798710297,1.94e-05,,0.0,,,2.958289674925167,-10.850237491894992,-0.2247569809420728,3.048798994490684,polystichum setiferum
wfo-0000392443,Prangos ferulacea,Prangos,Apiaceae,,,,,35.4,,0.0,,,,3.5667118201397288,,,prangos ferulacea
wfo-0000170614,Pterogyne nitens,Pterogyne,Fabaceae,,53.21710251,,,116.91,,0.0,,,,4.761404408018728,,3.9743798204372207,pterogyne nitens
wfo-0000397531,Pulmonaria montana,Pulmonaria,Boraginaceae,,,,0.218160821,,,0.0,,,,,-1.5225227771588892,,pulmonaria montana
wfo-0000291630,Quercus laurifolia,Quercus,Fagaceae,,14.90262254,76.56632114,14.77356264,810.4266,,0.0,7.601097440532054,,2.569597970721145,6.6975607756929385,2.692839275311109,2.70153720685955,quercus laurifolia
wfo-0000462838,Ranunculus multiscapus,Ranunculus,Ranunculaceae,65.55,,118.623962,0.05,,,0.0,4.182813210209709,,2.131796772353764,,-2.995732273553991,,ranunculus multiscapus
wfo-0001217985,Raphanus raphanistrum subsp. sativus,Raphanus,Brassicaceae,10177.26,,49.77600796,0.651651663,11.4531,0.11,0.0,9.227911098669464,-2.2072749131897207,3.000222178910443,2.438260435714229,-0.4282451190252379,,raphanus raphanistrum subsp. sativus
wfo-0000125895,Rhaponticum repens,Rhaponticum,Asteraceae,,,,0.545447311,3.5121,,0.0,,,,1.2562141491715997,-0.6061490668249389,,rhaponticum repens
wfo-0000997766,Rosa sambucina,Rosa,Rosaceae,,,52.00208008,4.0,9.49,,0.0,,,2.956471559662288,2.2502386126218363,1.3862943611198906,,rosa sambucina
wfo-0001003883,Rosa pendulina,Rosa,Rosaceae,,23.42105195,45.08566276,1.077217345,,,0.0,7.711548979629146,,3.099190981905421,,0.0743811837566041,3.153635273898676,rosa pendulina
wfo-0001017331,Rubus corchorifolius,Rubus,Rosaceae,2587.08,20.61618916,34.90316883,2.289428485,0.5,,0.0,7.858285105557916,,3.3551776564743885,-0.6931471805599453,0.8283022165494105,3.02607664870572,rubus corchorifolius
wfo-0000492914,Salvadora persica,Salvadora,Salvadoraceae,737.14,,121.0,6.0,89.9574,,0.0,6.602777833443791,,2.111964733385396,4.499336224939348,1.791759469228055,,salvadora persica
wfo-0000527542,Schoenoplectus litoralis,Schoenoplectus,Cyperaceae,,,,,0.936,,0.0,,,,-0.0661398025045449,,,schoenoplectus litoralis
wfo-0000741049,Scilla bifolia,Scilla,Asparagaceae,,44.83340656,24.12545235,0.151120939,9.1899,0.07,0.0,7.77348928723914,-2.659260036932778,3.724487881673804,2.2181050549155747,-1.889674842203105,3.802953543681,scilla bifolia
wfo-0000898496,Scolochloa festucacea,Scolochloa,Poaceae,,17.50542773,53.61930295,1.334736942,1.8414,,0.0,,,2.9258461460723244,0.6105261518716084,0.2887342252448531,2.862510988841039,scolochloa festucacea
wfo-0000178509,Sesbania grandiflora,Sesbania,Fabaceae,,39.61760262,,6.09,72.8435,,0.0,,,,4.288313304226709,1.8066480817218056,3.679273530100923,sesbania grandiflora
wfo-0000440249,Silene vallesia,Silene,Caryophyllaceae,,,,0.09085603,,,0.0,,,,,-2.398479113200014,,silene vallesia
wfo-0000174272,Sophora microphylla,Sophora,Fabaceae,15.98,,40.30650759,3.806754096,79.1694,,0.0,2.7713379403381286,,3.2112423444057256,4.371589860526356,1.3367768827215765,,sophora microphylla
