TRY 30 AccSpecies ID,Species name standardized against TPL,Taxonomic level,Status according to TPL,Genus,Family,Phylogenetic Group within angiosperms,Phylogenetic Group General,Adaptation to terrestrial or aquatic habitats,Woodiness,Growth Form,Succulence,Nutrition type (parasitism),Nutrition type (carnivory),Leaf type,Leaf area (mm2),Leaf area (n.o.),Nmass (mg/g),Nmass (n.o.),LMA (g/m2),LMA (n.o.),Plant height (m),Plant height (n.o.),Diaspore mass (mg),Diaspore mass (n.o.),SSD observed (mg/mm3),SSD (n.o.),LDMC (g/g),LDMC (n.o.),SSD imputed (mg/mm3),SSD combined (mg/mm3),Number of traits with values
33937,Lobelia erinus,species,accepted,Lobelia,Campanulaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.192314542,8,0.033,9,NA,NA,NA,NA,NA,NA,2
33981,Lobelia urens,species,accepted,Lobelia,Campanulaceae,Angiosperm_other_Eudicotyledon,Angiosperm,NA,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,316,1,NA,NA,NA,NA,0.367683257,6,0.02,7,NA,NA,NA,NA,NA,NA,3
33988,Lobularia libyca,species,accepted,Lobularia,Brassicaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.4,2,NA,NA,NA,NA,NA,NA,NA,NA,1
33990,Lobularia maritima,species,accepted,Lobularia,Brassicaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,32,1,NA,NA,NA,NA,0.157611215,18,0.3051,15,NA,NA,NA,NA,NA,NA,3
34016,Lolium multiflorum,species,accepted,Lolium,Poaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous graminoid,NA,independent,NA,broadleaved,606,13,22.19923534,19,39.96456724,42,0.408692848,59,2.6332,67,0.216770525,NA,NA,NA,NA,0.216770525,6
34017,Lolium perenne,species,accepted,Lolium,Poaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous graminoid,NA,independent,NA,broadleaved,468.92,85,27.04474261,58,39.51813361,184,0.271468513,212,1.8626,96,0.18794681,2,NA,NA,NA,0.18794681,6
34021,Lolium remotum,species,accepted,Lolium,Poaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous graminoid,NA,independent,NA,broadleaved,2080.5,5,NA,NA,34.0367597,5,0.560934242,19,NA,NA,NA,NA,0.16,5,0.14477,0.14477,4
34022,Lolium rigidum,species,accepted,Lolium,Poaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous graminoid,NA,independent,NA,broadleaved,4612.54,5,19.63135388,8,47.64130577,38,0.339252979,52,2.3252,29,0.33522,NA,NA,NA,NA,0.33522,6
34023,Lolium temulentum,species,accepted,Lolium,Poaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous graminoid,NA,independent,NA,broadleaved,1476.5,5,NA,NA,40.56795132,5,0.675426276,18,8.4948,6,NA,NA,0.21,5,0.18917,0.18917,5
34067,Lomatogonium carinthiacum,species,accepted,Lomatogonium,Gentianaceae,Angiosperm_other_Eudicotyledon,Angiosperm,NA,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.042627697,14,0.001,NA,NA,NA,NA,NA,NA,NA,2
88985,Lomelosia brachiata,species,unresolved,Lomelosia,Caprifoliaceae,Angiosperm_other_Eudicotyledon,Angiosperm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,2,NA,NA,NA,NA,NA,NA,NA,NA,1
48640,Lomelosia caucasica,species,accepted,Lomelosia,Caprifoliaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,900.16,1,21.81,1,82.03445447,1,0.76,4,5.0004,8,NA,NA,0.19,1,0.19543,0.19543,6
88986,Lomelosia graminifolia,species,unresolved,Lomelosia,Caprifoliaceae,Angiosperm_other_Eudicotyledon,Angiosperm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.239678173,8,NA,NA,NA,NA,NA,NA,NA,NA,1
48649,Lomelosia palaestina,species,accepted,Lomelosia,Caprifoliaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.5,NA,10.78,6,NA,NA,NA,NA,NA,NA,2
88987,Lomelosia sphaciotica,species,unresolved,Lomelosia,Caprifoliaceae,Angiosperm_other_Eudicotyledon,Angiosperm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,2,NA,NA,NA,NA,NA,NA,NA,NA,1
34071,Lonas annua,species,accepted,Lonas,Compositae,Angiosperm_other_Eudicotyledon,Angiosperm,NA,non-woody,herbaceous non-graminoid,NA,NA,NA,broadleaved,NA,NA,NA,NA,NA,NA,NA,NA,0.2,7,NA,NA,NA,NA,NA,NA,1
89012,Lonicera acuminata,species,accepted,Lonicera,Caprifoliaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,NA,NA,NA,independent,NA,NA,NA,NA,NA,NA,NA,NA,10,2,NA,NA,NA,NA,NA,NA,NA,NA,1
34113,Lonicera alpigena,species,accepted,Lonicera,Caprifoliaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,shrub,NA,independent,NA,broadleaved,3013,15,14.94260582,3,34.65003465,15,1.209462725,23,35.01,2,NA,NA,NA,NA,NA,NA,5
34118,Lonicera caerulea,species,accepted,Lonicera,Caprifoliaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,shrub,NA,independent,NA,broadleaved,461.05,NA,26.83173767,1,63.15120469,2,0.904911421,18,2.14,3,NA,NA,NA,NA,NA,NA,5
89003,Lonicera caerulea subsp. altaica,variety or subspecies,accepted,Lonicera,Caprifoliaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,NA,NA,NA,independent,NA,NA,NA,NA,NA,NA,NA,NA,1.5,2,NA,NA,NA,NA,NA,NA,NA,NA,1
34115,Lonicera caerulea subsp. pallasii,variety or subspecies,accepted,Lonicera,Caprifoliaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,shrub,NA,independent,NA,broadleaved,410,4,NA,NA,74.12898443,5,1.5,3,NA,NA,NA,NA,NA,NA,NA,NA,3
34120,Lonicera caprifolium,species,accepted,Lonicera,Caprifoliaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,semi-woody,climber,NA,independent,NA,broadleaved,1630.11,16,14.79952332,3,53.29079347,15,4.458544192,27,8.04,4,NA,NA,0.244948974,15,0.224223263,0.224223263,6
34121,Lonicera caucasica,species,accepted,Lonicera,Caprifoliaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,shrub,NA,independent,NA,broadleaved,1528,1,NA,NA,68.91798759,2,1.17,3,3.76,12,NA,NA,NA,NA,NA,NA,4
34128,Lonicera etrusca,species,accepted,Lonicera,Caprifoliaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,semi-woody,climber,NA,independent,NA,broadleaved,514.17,11,18.21,2,66.5880608,23,0.936507747,9,6.85,2,NA,NA,0.274954542,4,0.23994618,0.23994618,6
34139,Lonicera implexa,species,accepted,Lonicera,Caprifoliaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,semi-woody,climber,NA,independent,NA,broadleaved,824.5,10,25.32745546,7,105.7144474,13,2.5,6,10.6629,9,NA,NA,0.356441082,6,0.282645127,0.282645127,6
34140,Lonicera involucrata,species,accepted,Lonicera,Caprifoliaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,shrub,NA,independent,NA,broadleaved,3198.17,31,NA,NA,34.16607754,18,3.04,6,1.517,24,NA,NA,NA,NA,NA,NA,4
34141,Lonicera japonica,species,accepted,Lonicera,Caprifoliaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,climber,NA,independent,NA,broadleaved,2020.09,6,16.58007987,4,120.3369434,7,0.3,6,2.378,13,NA,NA,NA,NA,NA,NA,5
34154,Lonicera ligustrina var. pileata,variety or subspecies,accepted,Lonicera,Caprifoliaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,NA,NA,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,1.095445115,3,NA,NA,NA,NA,NA,NA,NA,NA,1
34148,Lonicera nigra,species,accepted,Lonicera,Caprifoliaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,shrub,NA,independent,NA,broadleaved,660.95,10,16.8991587,3,58.03307905,10,1.202379274,24,0.41,NA,NA,NA,NA,NA,NA,NA,5
34150,Lonicera nummulariifolia,species,accepted,Lonicera,Caprifoliaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,shrub,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,6,2,32.21,4,NA,NA,NA,NA,NA,NA,2
34153,Lonicera periclymenum,species,accepted,Lonicera,Caprifoliaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,semi-woody,climber,NA,independent,NA,broadleaved,834.36,34,23.79038738,17,66.49167708,52,3.890878606,40,5.9154,30,NA,NA,0.283997653,25,0.24468477,0.24468477,6
34165,Lonicera tatarica,species,accepted,Lonicera,Caprifoliaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,shrub,NA,independent,NA,broadleaved,NA,NA,28,1,43.72551932,3,8.987104741,20,2.9582,13,NA,NA,NA,NA,NA,NA,4
34168,Lonicera xylosteum,species,accepted,Lonicera,Caprifoliaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,shrub,NA,independent,NA,broadleaved,967,31,21,6,41.89428284,38,1.921946903,55,5.0493,11,NA,NA,NA,NA,NA,NA,5
34213,Loranthus europaeus,species,accepted,Loranthus,Loranthaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,other,NA,hemiparasitic,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.579889,11,14.81,4,NA,NA,NA,NA,NA,NA,2
34236,Lotus alpinus,species,accepted,Lotus,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,NA,non-woody,herbaceous non-graminoid,NA,NA,NA,broadleaved,NA,NA,43.64637355,3,39.61,11,0.049324241,12,1.3077,13,NA,NA,0.24615,11,0.2179858,0.2179858,5
34238,Lotus angustissimus,species,accepted,Lotus,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,26.65,4,31.64556962,4,0.094378521,25,0.4192,12,0.27000999999999997,NA,NA,NA,NA,0.27000999999999997,5
34242,Lotus borbasii,species,accepted,Lotus,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,NA,NA,NA,NA,NA,NA,broadleaved,NA,NA,NA,NA,NA,NA,NA,NA,1.27,7,NA,NA,NA,NA,NA,NA,1
34247,Lotus conimbricensis,species,accepted,Lotus,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,NA,NA,0.6205,7,NA,NA,NA,NA,NA,NA,1
34248,Lotus conjugatus,species,accepted,Lotus,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,NA,NA,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,NA,NA,3.5,6,NA,NA,NA,NA,NA,NA,1
NA,Lotus corniculatus,species,accepted,Lotus,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,128.72,NA,33.12313536,NA,44.05508698,NA,0.241508476,NA,1.3207,NA,0.279011646,NA,NA,NA,NA,0.279011646,6
34251,Lotus creticus,species,accepted,Lotus,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,NA,NA,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.05,2,2.1065,17,NA,NA,NA,NA,NA,NA,2
34253,Lotus cytisoides,species,accepted,Lotus,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.114471424,6,1.56,7,NA,NA,NA,NA,NA,NA,2
34257,Lotus edulis,species,accepted,Lotus,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.141421356,4,0.6427,19,NA,NA,NA,NA,NA,NA,2
34264,Lotus halophilus,species,accepted,Lotus,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,NA,NA,1.39,7,NA,NA,NA,NA,NA,NA,1
34266,Lotus hispidus,species,accepted,Lotus,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,NA,NA,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,NA,NA,0.58,6,NA,NA,NA,NA,NA,NA,1
34246,Lotus longesiliquosus,species,accepted,Lotus,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,NA,NA,1.8,6,NA,NA,NA,NA,NA,NA,1
53868,Lotus maritimus,species,accepted,Lotus,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,359.58,16,NA,NA,54.34932158,15,0.197615269,12,4.009,10,NA,NA,0.193097877,15,0.181273731,0.181273731,5
34277,Lotus ornithopodioides,species,accepted,Lotus,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.05,2,1.415,7,NA,NA,NA,NA,NA,NA,2
34279,Lotus palustris,species,accepted,Lotus,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,NA,NA,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,NA,NA,0.8798,7,NA,NA,NA,NA,NA,NA,1
34280,Lotus parviflorus,species,accepted,Lotus,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,NA,NA,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,NA,NA,0.26,7,NA,NA,NA,NA,NA,NA,1
34281,Lotus pedunculatus,species,accepted,Lotus,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,317,6,31.00891581,NA,35.98832605,14,0.381789619,20,0.5299,24,0.15195,NA,NA,NA,NA,0.15195,6
34283,Lotus peregrinus,species,accepted,Lotus,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,NA,NA,1.5699,7,NA,NA,NA,NA,NA,NA,1
34293,Lotus subbiflorus,species,accepted,Lotus,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.16,18,0.49,7,NA,NA,NA,NA,NA,NA,2
34295,Lotus tenuis,species,accepted,Lotus,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,52.01224536,7,0.438693583,16,0.9566,19,NA,NA,0.15,5,0.15145,0.15145,4
34296,Lotus tetragonolobus,species,accepted,Lotus,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,NA,NA,NA,independent,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,31.91,6,NA,NA,NA,NA,NA,NA,2
89077,Ludwigia grandiflora,species,accepted,Ludwigia,Onagraceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,NA,NA,NA,independent,NA,NA,NA,NA,NA,NA,NA,NA,0.2,2,NA,NA,NA,NA,NA,NA,NA,NA,1
34363,Ludwigia palustris,species,accepted,Ludwigia,Onagraceae,Angiosperm_other_Eudicotyledon,Angiosperm,aquatic,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,219.37,21,NA,NA,32.27885993,20,0.098943309,31,0.032,16,NA,NA,0.19648333,20,0.198827265,0.198827265,5
34408,Lunaria annua,species,accepted,Lunaria,Brassicaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,7748.92,15,NA,NA,26.93243582,10,0.533400716,18,16.6868,21,NA,NA,0.109544512,10,0.153271324,0.153271324,5
34410,Lunaria rediviva,species,accepted,Lunaria,Brassicaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,10847.26,15,NA,NA,22.41458936,15,0.719937914,15,26,4,NA,NA,0.11629907,15,0.156810713,0.156810713,5
34413,Lupinus albus,species,accepted,Lupinus,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,37.81789072,10,0.601973089,24,319.8323,49,NA,NA,0.11,10,0.12377,0.12377,4
34416,Lupinus angustifolius,species,accepted,Lupinus,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,44.42470013,6,0.512552472,23,147.3992,71,NA,NA,NA,NA,NA,NA,3
34417,Lupinus arboreus,species,accepted,Lupinus,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,shrub,NA,independent,NA,broadleaved,NA,NA,NA,NA,120.5978838,8,2.133072901,16,29.3102,13,NA,NA,NA,NA,NA,NA,3
34423,Lupinus bicolor,species,accepted,Lupinus,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,26.8,1,79.24124162,58,0.14384924,58,8.9891,15,NA,NA,NA,NA,NA,NA,4
34425,Lupinus cosentinii,species,accepted,Lupinus,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,NA,NA,127.5228,7,NA,NA,NA,NA,NA,NA,1
34440,Lupinus luteus,species,accepted,Lupinus,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,39.63015347,10,0.434108054,21,134.521,38,NA,NA,0.104880885,10,0.120227572,0.120227572,4
34446,Lupinus nootkatensis,species,accepted,Lupinus,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.774596669,5,21.5444,7,NA,NA,NA,NA,NA,NA,2
34452,Lupinus perennis,species,accepted,Lupinus,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,230.63,12,26.49842858,15,55.01359783,26,0.300262169,12,22.0805,18,NA,NA,0.140279356,9,0.144723314,0.144723314,6
34453,Lupinus pilosus,species,accepted,Lupinus,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,NA,NA,590.4,6,NA,NA,NA,NA,NA,NA,1
34455,Lupinus polyphyllus,species,accepted,Lupinus,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,1460.17,23,32.93508767,3,41.66660813,26,1.159253422,20,22.4556,46,NA,NA,0.169670323,17,0.165061863,0.165061863,6
34470,Luronium natans,species,accepted,Luronium,Alismataceae,Angiosperm_Monocotyledon,Angiosperm,aquatic,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,238.09,36,NA,NA,22.11003131,35,0.077459667,5,0.3695,6,NA,NA,0.130819521,35,0.118857734,0.118857734,5
34474,Luzula alpina,species,accepted,Luzula,Juncaceae,Angiosperm_Monocotyledon,Angiosperm,NA,non-woody,herbaceous graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.163553316,6,NA,NA,NA,NA,NA,NA,NA,NA,1
34476,Luzula alpinopilosa,species,accepted,Luzula,Juncaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous graminoid,NA,independent,NA,broadleaved,384.35,5,29.8,5,58.99648637,9,0.181712059,NA,0.2249,NA,NA,NA,0.179209,5,0.161827592,0.161827592,6
34478,Luzula arcuata,species,accepted,Luzula,Juncaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous graminoid,NA,independent,NA,broadleaved,32,1,NA,NA,NA,NA,0.06214465,3,NA,NA,NA,NA,NA,NA,NA,NA,2
34480,Luzula campestris,species,accepted,Luzula,Juncaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous graminoid,NA,independent,NA,broadleaved,210.69,6,26.62836148,20,40.89820964,84,0.134395984,148,0.6205,84,0.206398667,NA,NA,NA,NA,0.206398667,6
34485,Luzula confusa,species,accepted,Luzula,Juncaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous graminoid,NA,independent,NA,broadleaved,NA,NA,11.7,1,NA,NA,0.25,3,NA,NA,NA,NA,NA,NA,NA,NA,2
34486,Luzula congesta,species,accepted,Luzula,Juncaceae,Angiosperm_Monocotyledon,Angiosperm,NA,non-woody,herbaceous graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,44.07227854,NA,0.3,NA,0.67,NA,NA,NA,NA,NA,NA,NA,3
34487,Luzula desvauxii,species,accepted,Luzula,Juncaceae,Angiosperm_Monocotyledon,Angiosperm,NA,non-woody,herbaceous graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.421570011,6,0.21,4,NA,NA,NA,NA,NA,NA,2
34491,Luzula forsteri,species,accepted,Luzula,Juncaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous graminoid,NA,independent,NA,broadleaved,338.56,21,20.32234774,3,46.42,21,0.175978418,42,1.1846,9,NA,NA,0.263342,10,0.236537696,0.236537696,6
34493,Luzula glabrata,species,accepted,Luzula,Juncaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.175978418,12,NA,NA,NA,NA,NA,NA,NA,NA,1
34497,Luzula lutea,species,accepted,Luzula,Juncaceae,Angiosperm_Monocotyledon,Angiosperm,NA,non-woody,herbaceous graminoid,NA,independent,NA,broadleaved,309.29,11,23.90115127,3,71.17398208,11,0.163553316,6,NA,NA,NA,NA,0.328794311,11,0.300013712,0.300013712,5
34498,Luzula luzulina,species,accepted,Luzula,Juncaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.145581489,12,NA,NA,NA,NA,NA,NA,NA,NA,1
34499,Luzula luzuloides,species,accepted,Luzula,Juncaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous graminoid,NA,independent,NA,broadleaved,NA,NA,19.15708458,5,42.08754209,5,0.498870112,17,0.2576,15,NA,NA,NA,NA,NA,NA,4
34502,Luzula multiflora,species,accepted,Luzula,Juncaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous graminoid,NA,independent,NA,broadleaved,203.67,17,24.34201885,9,41.71067889,41,0.187583374,73,0.5886,49,0.23475,NA,NA,NA,NA,0.23475,6
34477,Luzula nivalis,species,accepted,Luzula,Juncaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous graminoid,NA,independent,NA,broadleaved,NA,NA,14.9,3,105.0420168,7,0.25,3,NA,NA,NA,NA,NA,NA,NA,NA,3
34503,Luzula nivea,species,accepted,Luzula,Juncaceae,Angiosperm_Monocotyledon,Angiosperm,NA,non-woody,herbaceous graminoid,NA,independent,NA,broadleaved,588.87,10,24.85599149,3,40.205,10,0.616224015,12,0.48,4,NA,NA,0.257858,10,0.231667904,0.231667904,6
34506,Luzula pallescens,species,accepted,Luzula,Juncaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.3,NA,0.17,5,NA,NA,NA,NA,NA,NA,2
34508,Luzula parviflora,species,accepted,Luzula,Juncaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous graminoid,NA,independent,NA,broadleaved,844.3,1,NA,NA,33.21201386,1,0.6,6,0.2283,14,NA,NA,NA,NA,NA,NA,4
89129,Luzula pedemontana,species,accepted,Luzula,Juncaceae,Angiosperm_Monocotyledon,Angiosperm,NA,non-woody,herbaceous graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.391486764,6,NA,NA,NA,NA,NA,NA,NA,NA,1
89128,Luzula pediformis,species,accepted,Luzula,Juncaceae,Angiosperm_Monocotyledon,Angiosperm,NA,non-woody,herbaceous graminoid,NA,independent,NA,broadleaved,247.42,5,20.22,1,42.90026348,5,0.161742075,11,NA,NA,NA,NA,NA,NA,NA,NA,4
34509,Luzula pilosa,species,accepted,Luzula,Juncaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous graminoid,NA,independent,NA,broadleaved,669.48,15,18.94938587,28,38.41320963,25,0.265702466,58,1.0339,27,NA,NA,0.225942107,24,0.203326591,0.203326591,6
34515,Luzula spicata,species,accepted,Luzula,Juncaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous graminoid,NA,independent,NA,broadleaved,34.85,39,22.59,5,103.9725819,36,0.145595309,59,0.2907,29,NA,NA,0.299265196,33,0.268437494,0.268437494,6
34511,Luzula stenophylla,species,accepted,Luzula,Juncaceae,Angiosperm_Monocotyledon,Angiosperm,NA,non-woody,herbaceous graminoid,NA,independent,NA,broadleaved,1427.52,2,NA,NA,NA,NA,0.154919334,2,NA,NA,NA,NA,NA,NA,NA,NA,2
34516,Luzula sudetica,species,accepted,Luzula,Juncaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous graminoid,NA,independent,NA,broadleaved,243.2,16,32.10920452,3,31.39399683,24,0.164563987,37,0.2998,6,NA,NA,0.186225492,24,0.168058236,0.168058236,6
34517,Luzula sylvatica,species,accepted,Luzula,Juncaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous graminoid,NA,independent,NA,broadleaved,NA,NA,18.734994,11,52.53574114,64,0.46372565,62,0.7223,29,NA,NA,0.2723825,53,0.24456566,0.24456566,5
