wfo_accepted_name,EIVEres-L,EIVEres-T,EIVEres-M,EIVEres-R,EIVEres-N,Species name standardized against TPL,Genus,Family,Woodiness,Growth Form,Leaf type,Leaf area (mm2),Nmass (mg/g),LMA (g/m2),Plant height (m),Diaspore mass (mg),SSD observed (mg/mm3),SSD combined (mg/mm3),SSD used (mg/mm3),Leaf area (n.o.),Nmass (n.o.),LMA (n.o.),Plant height (n.o.),Diaspore mass (n.o.),SSD (n.o.),ssd_imputed_used,min_records_6traits,Myco_Group_Final
Agrostis canina,7.58041736388157,3.24396293653831,6.33486791832453,3.77745912681444,1.50979097101784,Agrostis canina,Agrostis,Poaceae,non-woody,herbaceous graminoid,broadleaved,81.07,23.26992493,35.60432617,0.264397541,0.0578,NA,0.238843782,0.238843782,10,28,56,56,52,NA,1,10,Pure_AM
Agrostis capillaris,6.7435170137142,3.83521720572308,4.20556708300728,3.56630826733208,3.59822449321004,Agrostis capillaris,Agrostis,Poaceae,non-woody,herbaceous graminoid,broadleaved,167.15,22.56129771,35.54716317,0.26707069,0.0593,0.238945838,0.238945838,0.238945838,22,110,149,257,101,6,0,6,Facultative_AM_NM
Agrostis hyemalis,8.15352245699483,4.54983100753169,6.63458329634452,3.55145233066917,NA,Agrostis hyemalis,Agrostis,Poaceae,non-woody,herbaceous graminoid,broadleaved,79.06,17.1312609,78.6279575,0.694952821,0.0489,NA,0.308889034,0.308889034,4,2,5,7,19,NA,1,2,NA
Agrostis scabra,7.93643693098627,4.23434858598335,5.27982082878191,5.28315671401722,5.64777665838924,Agrostis scabra,Agrostis,Poaceae,non-woody,herbaceous graminoid,broadleaved,90,11.13552873,102.2146344,0.76,0.0573,NA,0.434319077,0.434319077,4,4,9,1,7,NA,1,1,Facultative_AM_NM
Agrostis stolonifera,8.18243246500823,4.05220806201361,5.62451642535152,6.34349088272408,5.34438412278263,Agrostis stolonifera,Agrostis,Poaceae,non-woody,herbaceous graminoid,broadleaved,234.16,29.16634117,31.66568671,0.365404006,0.0403,0.2412728,0.2412728,0.2412728,30,24,67,81,32,19,0,19,Facultative_AM_NM
Agrostis vinealis,7.45868626769425,3.71327103312103,4.40872970377336,5.68716360525586,3.34877226823573,Agrostis vinealis,Agrostis,Poaceae,non-woody,herbaceous graminoid,broadleaved,96.47,27.39272264,48.1768202,0.18814145,0.0432,NA,0.29445202,0.29445202,11,3,12,25,20,NA,1,3,Pure_AM
Aira caryophyllea,8.86241138938885,4.68265970621453,2.39495637840127,3.67345903562195,1.82508862740994,Aira caryophyllea,Aira,Poaceae,non-woody,herbaceous graminoid,broadleaved,12.87,27.39467365,62.9453634,0.144055347,0.1224,NA,0.21242491,0.21242491,43,3,45,49,25,NA,1,3,Facultative_AM_NM
Ajuga chamaepitys,7.43777475113887,5.86191775970458,3.26132589145326,8.760001794918,3.04678467074487,Ajuga chamaepitys,Ajuga,Lamiaceae,non-woody,herbaceous non-graminoid,broadleaved,70.5,18.53851068,44.48398577,0.097732279,1.4685,NA,0.17447,0.17447,18,3,15,19,1,NA,1,1,NA
Alchemilla glaucescens,7.60840260228138,3.06707537921134,4.18217859563543,4.06130012292389,3.35502809543442,Alchemilla glaucescens,Alchemilla,Rosaceae,non-woody,herbaceous non-graminoid,broadleaved,1523.04,17.8,55.40239738,0.161245155,0.4655,NA,0.245388161,0.245388161,27,18,39,17,32,NA,1,17,NA
Alchemilla monticola,6.48309971457056,3.01231528759293,4.64001473458705,5.45164414570951,5.19663713335649,Alchemilla monticola,Alchemilla,Rosaceae,non-woody,herbaceous non-graminoid,broadleaved,2594.75,25.1,56.05078296,0.156206875,0.4387,0.1628,0.1628,0.1628,5,12,22,49,18,NA,0,5,Low_Confidence
Alchemilla xanthochlora,5.96876735052405,3.00533731014123,5.34768592053012,5.96786081477044,5.24052066059735,Alchemilla xanthochlora,Alchemilla,Rosaceae,non-woody,herbaceous non-graminoid,broadleaved,5234.06,26.77544455,48.96152617,0.27900298,0.3002,NA,0.226221063,0.226221063,2,11,16,16,NA,NA,1,2,Low_Confidence
Alisma gramineum,7.14753973515165,5.05298645203111,8.41635323971651,6.71323526745307,5.44211235166731,Alisma gramineum,Alisma,Alismataceae,non-woody,herbaceous non-graminoid,broadleaved,4825.48,32.73388,43.50104754,0.233481515,0.4197,NA,0.056465312,0.056465312,10,3,10,9,6,NA,1,3,NA
Alliaria petiolata,4.36549943662831,4.4335955171257,4.60669367790488,6.83084607076501,8.59797627727557,Alliaria petiolata,Alliaria,Brassicaceae,non-woody,herbaceous non-graminoid,broadleaved,2958.08,42.44346828,23.23246428,0.438246157,2.9344,0.37,0.37,0.37,18,6,32,35,30,2,0,2,Pure_NM
Allium carinatum,7.98574364157762,4.39111120152259,3.21840575035717,7.51413904617873,2.97070052933907,Allium carinatum,Allium,Amaryllidaceae,non-woody,herbaceous non-graminoid,broadleaved,1280,22.76,47.50517169,0.35701238,1.2264,NA,0.10037,0.10037,6,2,7,18,4,NA,1,2,NA
Allium ericetorum,8.56491973250471,4.10934920799974,3.58683436530514,7.11351909664968,2.51355012932469,Allium ericetorum,Allium,Amaryllidaceae,non-woody,herbaceous non-graminoid,broadleaved,267.73,28.21278641,107.91,0.246621207,1.57,NA,0.150016304,0.150016304,10,3,10,6,4,NA,1,3,NA
